iteration	timestamp	model	run_id	decision	commit	summary	findings
11	2026-03-20T00:21:34+00:00	gpt-5.4	pgolf_0011	revert	51d8129bf83145e480bda9eca9f48601ca01f0b1	Revert: pgolf_0011 appears trustworthy, but it does not improve on the best prior kept result. Against kept pgolf_0009, final_int8_zlib_roundtrip_exact regressed from val_bpb 1.59373798 / val_loss 2.69095981 at 10891835 bytes to val_bpb 1.59510212 / val_loss 2.69326311 at 10892660 bytes, so this candidate-family expansion is not a worthwhile retained change.	The remote log cleanly matches experiment commit 51d8129bf83145e480bda9eca9f48601ca01f0b1 and the intended env INT8_KEEP_FLOAT_LARGE_NAME_PATTERNS=c_v.weight INT8_AUTO_KEEP_FLOAT_NAME_PATTERNS=tok_emb.weight,.attn.proj.weight,.attn.c_k.weight INT8_AUTO_KEEP_FLOAT_LOG_TOPK=5, while metrics.json matches the final exact metric line and size_bytes exactly. Trustworthiness looks good because this remains a serializer-only ablation and training progress stayed in-family with kept pgolf_0009, stopping at step 355 / 600014ms versus step 356 / 600874ms in pgolf_0009, so the worse result is not explained by extra optimization time or a harness mismatch. The new audit signals are present and internally consistent: Int8 auto-keep selector logged candidates:19 with selected:blocks.0.attn.proj.weight, the top-candidates summary lists only .attn.proj.weight tensors in the top 5, and Submission size headroom reported cap:16000000 used:10892660 remaining:5107340, confirming the intended family expansion was exercised and the size cap remained non-binding. But the expanded-family hypothesis is falsified by the outcome and by the audit trail: no .attn.c_k.weight tensor outranked the incumbent family on estimated gain, the selector still chose the same kind of tensor as pgolf_0009, and final exact round-trip quality worsened by 0.00136414 val_bpb and 0.00230330 val_loss with essentially unchanged size. That is not a real improvement worth keeping.
12	2026-03-20T01:29:11+00:00	gpt-5.4	pgolf_0012	revert	5dd7b938ae3d6c33fbdc97abf88e09115b3705ab	Revert: pgolf_0012 looks trustworthy, but it does not improve on the best prior kept result. Against kept pgolf_0009, final_int8_zlib_roundtrip_exact regressed from val_bpb 1.59373798 / val_loss 2.69095981 at 10891835 bytes to val_bpb 1.59687908 / val_loss 2.69626343 at 11365971 bytes, so this selected-tensor float32 storage override is not a worthwhile retained change.	The remote log cleanly matches experiment commit 5dd7b938ae3d6c33fbdc97abf88e09115b3705ab and the intended env INT8_KEEP_FLOAT_LARGE_NAME_PATTERNS=c_v.weight INT8_AUTO_KEEP_FLOAT_NAME_PATTERNS=tok_emb.weight,.attn.proj.weight INT8_AUTO_KEEP_FLOAT_SELECTED_STORE_DTYPE=float32, while metrics.json matches the final exact metric line and size_bytes exactly. Trustworthiness looks good because this remains a serializer-only ablation and training progress stayed in-family with kept pgolf_0009, stopping at step 354 / 600362ms versus step 356 / 600874ms in pgolf_0009, so the worse result is not explained by extra optimization time or a harness mismatch. The audit signals also match the approved expectation: Int8 auto-keep selector logged candidates:10, selected:blocks.0.attn.proj.weight, selector_scoring_dtype:float16, and selected_dtype:float32, while Int8 auto-keep bytes logged selected_tensors:1 with selector_scoring_payload:524288, selected_payload:1048576, selector_scoring_extra_payload:261120, and selected_extra_payload:785408, which is internally consistent with upgrading exactly one selected tensor from fp16-scored storage to actual fp32 storage. But the hypothesis is falsified by the primary outcome: compared with kept pgolf_0009, exact round-trip quality worsened by 0.00314110 val_bpb and 0.00530362 val_loss while size also increased by 474136 bytes. Because the evidence is trustworthy yet the metric moved materially in the wrong direction, this change should be reverted rather than kept.
13	2026-03-20T02:37:47+00:00	gpt-5.4	pgolf_0013	keep	d663132983c8a2165d7bd9f4a3c9fbfa9d15eb07	Keep: pgolf_0013 looks trustworthy and delivers a modest but real improvement over the best prior kept result. final_int8_zlib_roundtrip_exact improved from val_bpb 1.59373798 / val_loss 2.69095981 in pgolf_0009 to val_bpb 1.59305001 / val_loss 2.68979822 here, while remaining comfortably under the 16000000-byte cap at 11284853 bytes.	The remote log cleanly matches experiment commit d663132983c8a2165d7bd9f4a3c9fbfa9d15eb07 and the intended env INT8_KEEP_FLOAT_LARGE_NAME_PATTERNS=c_v.weight INT8_AUTO_KEEP_FLOAT_NAME_PATTERNS=tok_emb.weight,.attn.proj.weight,.mlp.proj.weight INT8_AUTO_KEEP_FLOAT_LOG_TOPK=5, and metrics.json matches the final exact metric line and size_bytes exactly. Trustworthiness is good because this remains a serializer-only ablation and training progress stayed in-family with kept pgolf_0009, stopping at step 353 / 600926ms versus step 356 / 600874ms in pgolf_0009, so the better result is not explained by extra wallclock-limited optimization; if anything, it won with slightly fewer training steps. The expected audit signals are present and internally consistent: Int8 auto-keep selector logged candidates:19, selected:blocks.0.mlp.proj.weight, estimated_gain:0.23161432, and the top-candidates summary is dominated by .mlp.proj.weight tensors, which directly supports the family-expansion hypothesis rather than merely reproducing the prior attn.proj winner. Int8 auto-keep bytes logged selected_tensors:1 with selected_payload:1048576, selected_quantized_payload:525312, and selected_extra_payload:523264, which is internally consistent with rescuing exactly one MLP projection tensor; Submission size headroom reported cap:16000000 used:11284853 remaining:4715147, so the larger tensor still leaves ample slack. The metric gain versus kept pgolf_0009 is modest but directionally consistent on both primary metrics, improving by 0.00068797 val_bpb and 0.00116159 val_loss, and unlike the previously reverted family-expansion runs this one both changes the selected tensor family and improves the exact round-trip outcome. That clears the bar for a real retained improvement.
14	2026-03-20T03:27:11+00:00	gpt-5.4	pgolf_0014	keep	5c580b36d0508adf634348e88d4ec19fd26f67bd	Keep: pgolf_0014 looks trustworthy and delivers a clear improvement over the best prior kept result. final_int8_zlib_roundtrip_exact improved from val_bpb 1.59305001 / val_loss 2.68979822 in pgolf_0013 to val_bpb 1.58718007 / val_loss 2.67988706 here, while remaining comfortably under the 16000000-byte cap at 11300604 bytes.	The remote log cleanly matches experiment commit 5c580b36d0508adf634348e88d4ec19fd26f67bd and the intended env INT8_KEEP_FLOAT_LARGE_NAME_PATTERNS=c_v.weight INT8_AUTO_KEEP_FLOAT_NAME_PATTERNS=tok_emb.weight,.attn.proj.weight,.mlp.proj.weight INT8_AUTO_KEEP_FLOAT_LOG_TOPK=5 INT8_FP32_SCALE_NAME_PATTERNS=.mlp.proj.weight, and metrics.json matches the final exact metric line and size_bytes exactly. Trustworthiness is good because this remains a serializer-only ablation and training progress stayed in-family with the kept pgolf_0013 run, reaching step 358 at 600686ms versus step 353 at 600926ms in pgolf_0013, so the improvement is not explained by a throughput collapse or other wallclock mismatch. The key audit signals from pre-review all match: Int8 auto-keep selector still chose blocks.0.mlp.proj.weight, the top-candidate shortlist is again dominated by .mlp.proj.weight tensors, and Int8 scale storage reported fp32_tensors:8 and fp32_bytes:16384 exactly as expected for the eight still-quantized MLP projection matrices after one is auto-kept. Size behavior is also consistent with the hypothesis: total submission size increased only slightly from 11284853 bytes in pgolf_0013 to 11300604 bytes here, a delta of 15751 bytes that is close to the expected tiny fp32-scale overhead and still leaves 4699396 bytes of headroom. The primary outcome is directionally strong on both metrics, improving by 0.00586994 val_bpb and 0.00991116 val_loss versus the best prior kept result, which is substantially larger than the modest-but-real gain that justified keeping pgolf_0013. No log evidence suggests evaluation mismatch, unintended selector drift, or another reason to discount the result.
15	2026-03-20T03:59:03+00:00	gpt-5.4	pgolf_0015	revert	e6486c612a0f7114e5c5e99bc44a7571f73b318a	Revert: pgolf_0015 appears trustworthy, but it does not improve on the best prior kept result. final_int8_zlib_roundtrip_exact regressed from val_bpb 1.58718007 / val_loss 2.67988706 in pgolf_0014 to val_bpb 1.59015385 / val_loss 2.68490817 here, so this kept-float bfloat16 storage override is not a worthwhile retained change.	The remote log cleanly matches experiment commit e6486c612a0f7114e5c5e99bc44a7571f73b318a and the intended env INT8_KEEP_FLOAT_LARGE_NAME_PATTERNS=c_v.weight INT8_AUTO_KEEP_FLOAT_NAME_PATTERNS=tok_emb.weight,.attn.proj.weight,.mlp.proj.weight INT8_AUTO_KEEP_FLOAT_LOG_TOPK=5 INT8_FP32_SCALE_NAME_PATTERNS=.mlp.proj.weight INT8_KEEP_FLOAT_DTYPE_OVERRIDES=c_v.weight:bfloat16, while metrics.json matches the final exact metric line and size_bytes exactly. Trustworthiness looks good because this remains a serializer-only ablation and training progress stayed in-family with kept pgolf_0014, reaching step 356 at 600999ms versus step 358 at 600686ms in pgolf_0014, so the worse result is not explained by extra optimization time or a harness mismatch. The expected audit signals are present and internally consistent: Int8 auto-keep selector still chose blocks.0.mlp.proj.weight with candidates:19, Int8 scale storage still reported fp32_tensors:8 and fp32_bytes:16384, and Kept float storage reported override_tensors:9. The byte field there is 2359296 rather than the candidate manifest's expected 1175040, which likely reflects logging actual kept-float payload bytes after switching those nine tensors from float16 to bfloat16-backed torch storage rather than the prior fp16-specific expectation; importantly, the total submission size moved only modestly from 11300604 in pgolf_0014 to 10997671 here, so there is no sign of a broken export path. But the core hypothesis is falsified by the primary metric outcome: exact round-trip quality worsened by 0.00297378 val_bpb and 0.00502111 val_loss versus the best kept result. With a trustworthy export-only comparison and a clear regression on the main metric, this change should be reverted.
16	2026-03-20T04:20:25+00:00	gpt-5.4	pgolf_0016	revert	d7e55101da315709588c23de9ad3c1b5843742d2	Revert: pgolf_0016 looks trustworthy, but it does not improve on the best prior kept result. The approved one-tensor storage-only ablation appears to have executed as intended, yet final_int8_zlib_roundtrip_exact regressed from val_bpb 1.58718007 / val_loss 2.67988706 in pgolf_0014 to val_bpb 1.58819762 / val_loss 2.68160516 here, so this kept-float bfloat16 override for the selected .mlp.proj.weight tensor is not a worthwhile retained change.	The remote log cleanly matches experiment commit d7e55101da315709588c23de9ad3c1b5843742d2 and the intended env INT8_KEEP_FLOAT_LARGE_NAME_PATTERNS=c_v.weight INT8_AUTO_KEEP_FLOAT_NAME_PATTERNS=tok_emb.weight,.attn.proj.weight,.mlp.proj.weight INT8_AUTO_KEEP_FLOAT_LOG_TOPK=5 INT8_FP32_SCALE_NAME_PATTERNS=.mlp.proj.weight INT8_KEEP_FLOAT_DTYPE_OVERRIDES=.mlp.proj.weight:bfloat16, while metrics.json matches the final exact metric line and size_bytes exactly. The trustworthiness checks requested in pre-review all pass: Int8 auto-keep selector logged candidates:19, selected:blocks.0.mlp.proj.weight, selector_scoring_dtype:float16, and selected_storage_dtype:bfloat16; Kept float storage logged override_tensors:1, override_bytes:1048576, and override_summary:bfloat16:1; Int8 scale storage stayed at fp32_tensors:8 and fp32_bytes:16384; and total submission size remained in-family at 11168502 bytes, comfortably under the 16000000-byte cap. Because this is a serializer-only ablation and the audit trail matches the claimed isolated comparison, there is no strong reason to discount the result as untrustworthy. But the primary outcome falsifies the hypothesis: compared with the best prior kept run pgolf_0014, exact round-trip quality worsened by 0.00101755 val_bpb and 0.00171810 val_loss. That is a real regression on the main metric, so the change should be reverted rather than kept.
17	2026-03-20T04:24:15+00:00	gpt-5.4	pgolf_0017	error	c8f34cd6520bcbe03e95e4f8387eff448af42eec	experiment failed	missing final metric line in /root/parameter-golf/remote_logs/pgolf_0017.log
18	2026-03-20T05:00:00+00:00	gpt-5.4	pgolf_0018	revert	6fb6c590f9fed1123df44b1a90156aefeef2cd20	Revert: pgolf_0018 executed the approved full-export-state selector audit cleanly, but it did not improve on the best prior kept result and it falsified the intended mechanism by selecting the same auto-kept tensor as pgolf_0014.	The remote log cleanly matches experiment commit 6fb6c590f9fed1123df44b1a90156aefeef2cd20 and shows the new audit fields requested in pre-review: `Int8 auto-keep selector` reports `scorer:full_export_state_v1`, `candidates:19`, and `selected:blocks.0.mlp.proj.weight`, while `Int8 auto-keep full-state audit` reports `baseline_fp32_tensors:9` and `selected_fp32_tensors:8`, which is internally consistent with the current serializer path. Trustworthiness is acceptable because this remains a serializer-only change and training stayed in-family with the prior kept run, stopping at step 356 / 600527ms versus step 358 / 600686ms in pgolf_0014, so there is no obvious throughput or evaluation mismatch. But the key hypothesis was that scoring the full current export state would change the selected tensor away from pgolf_0014's `blocks.0.mlp.proj.weight` and improve export quality; instead, the selector still chose the same tensor, which pre-review explicitly flagged as a falsification/no-op case absent compelling contrary evidence. The primary outcome also regressed versus the best prior kept result: final_int8_zlib_roundtrip_exact moved from val_bpb 1.58718007 / val_loss 2.67988706 in pgolf_0014 to val_bpb 1.58941456 / val_loss 2.68365991 here, with submission size slightly worse as well (11306321 vs 11300604 bytes). With a falsified mechanism and worse final metrics, this change is not a worthwhile retained improvement and should be reverted.
19	2026-03-20T05:19:39+00:00	gpt-5.4	pgolf_0019	revert	92308c83c8f2b8cf9cacdf7eb87a3adcdd1f7105	Revert: pgolf_0019 does not improve on the best prior kept result, and one of the pre-review audit expectations for grouped-scale export did not match the observed log. The run completed cleanly and looks mechanically comparable to prior export-only runs, but final_int8_zlib_roundtrip_exact regressed from val_bpb 1.58718007 / val_loss 2.67988706 in pgolf_0014 to val_bpb 1.59063018 / val_loss 2.68571243 here, so this is not a worthwhile retained change.	The remote log cleanly matches experiment commit 92308c83c8f2b8cf9cacdf7eb87a3adcdd1f7105 and the intended env overrides, and metrics.json matches the final exact metric line and size_bytes exactly, so there is no sign of a missing-metric or bookkeeping failure. Trustworthiness is acceptable on throughput grounds because this remains a serializer-only ablation and training progress stayed in-family with the kept pgolf_0014 run, reaching step 355 at 600694ms versus step 358 at 600686ms in pgolf_0014, so the worse result is not explained by extra optimization time or a harness mismatch. Several key audit signals did hold: `Int8 auto-keep selector` reported `selector_path:baseline_fp16_per_row_v1`, `export_path:full_export_state_v1`, `grouped_scale_scoring:excluded`, `grouped_scale_candidate_matches:9`, and the selected tensor remained `blocks.0.mlp.proj.weight`, which is the expected causal-isolation pattern. However, the grouped-scale export counters did not match the pre-review expected values: the candidate manifest expected `Int8 grouped scale export` to show `tensors:8`, `scale_values:65536`, and `scale_bytes:262144`, but the actual log showed `tensors:8`, `scale_values:32768`, and `scale_bytes:131072`, with `Int8 scale storage` at `fp32_tensors:8 fp32_bytes:131072`. That mismatch means one requested audit check failed, so the run is weaker evidence for the specific grouped-scale-payload hypothesis than planned. Even setting that aside, the primary metric outcome is clearly worse than the best prior kept result: final_int8_zlib_roundtrip_exact moved from val_bpb 1.58718007 / val_loss 2.67988706 in pgolf_0014 to val_bpb 1.59063018 / val_loss 2.68571243 here, while total submission size was essentially unchanged at 11299055 bytes versus 11300604 bytes in pgolf_0014. With a regression on the main metric and an audit mismatch on the new grouped-scale path, this change should be reverted rather than kept.
20	2026-03-20T06:12:29+00:00	gpt-5.4	pgolf_0020	error	7472a6e90f2dae4e8b4917f53b2bcd9a2c9789c3	experiment failed	missing final metric line in /root/parameter-golf/remote_logs/pgolf_0020.log
21	2026-03-20T06:18:08+00:00	gpt-5.4	pgolf_0021	error	62ddf5b63518d3dbb0424f340a1a34498d535574	experiment failed	missing final metric line in /root/parameter-golf/remote_logs/pgolf_0021.log
22	2026-03-20T07:14:18+00:00	gpt-5.4	pgolf_0022	revert	4153b2715c2e574525a14178a25b10edcbf93e6b	Revert: pgolf_0022 appears trustworthy and the guarded row-mean export executed as intended, but it regressed versus the best prior kept result on the primary exact round-trip metric. final_int8_zlib_roundtrip_exact worsened from val_bpb 1.58718007 / val_loss 2.67988706 in pgolf_0014 to val_bpb 1.59204519 / val_loss 2.68810161 here, so this is not a clearly worthwhile retained change.	The remote log cleanly matches experiment commit 4153b2715c2e574525a14178a25b10edcbf93e6b and the intended env INT8_KEEP_FLOAT_LARGE_NAME_PATTERNS=c_v.weight INT8_AUTO_KEEP_FLOAT_NAME_PATTERNS=tok_emb.weight,.attn.proj.weight,.mlp.proj.weight INT8_AUTO_KEEP_FLOAT_LOG_TOPK=5 INT8_FP32_SCALE_NAME_PATTERNS=.mlp.proj.weight INT8_ROW_MEAN_NAME_PATTERNS=.mlp.proj.weight, while metrics.json matches the final exact metric line and size_bytes exactly. The trustworthiness checks from pre-review all pass: Int8 auto-keep selector still reported candidates:19 and selected:blocks.0.mlp.proj.weight; Int8 scale storage stayed at fp32_tensors:8 and fp32_bytes:16384; and Int8 row mean export reported exactly tensors:8, values:4096, bytes:8192, and format:int8_row_mean_guarded_v2, so the earlier schema-compatibility concern was addressed rather than silently overloaded under the old v1 format. Throughput also stayed in-family for an export-only ablation, with training stopping at step 354 / 600058ms versus step 358 / 600686ms in kept pgolf_0014, which is close enough that the worse result is not plausibly explained by a major wallclock mismatch. Submission size remained comfortably under the cap at 11307572 bytes, only 6968 bytes above pgolf_0014's 11300604. But the hypothesis is falsified on the primary outcome: final_int8_zlib_roundtrip_exact got worse by 0.00486512 val_bpb and 0.00821455 val_loss versus the best prior kept result. Because this is a trustworthy export-only comparison with a clear regression on the main metric, the change should be reverted rather than kept.
