timestamp	name	family	hypothesis	verdict	dataset	seed	block_layout	ssm_core	train_batch_tokens	iterations	max_wallclock_seconds	final_val_bpb	final_val_loss	eval_time_ms	bytes_model_int8_zlib	bytes_total	bytes_code	train_time_ms	step_avg_ms	duration_s	peak_memory_allocated_mib	exit_code	command_text	env_overrides_json	run_dir
20260406-031513	proxy_anchor_s4d_mid2_45s	anchors			tttmicro	1337	AAAASSAAA	s4d	32768	1000	45.0	7.9521853	13.26358809		5179621	5234139	54518	30751	1537.56	56.09008193016052	2347	0		{"BLOCK_LAYOUT": "AAAASSAAA", "CUDA_VISIBLE_DEVICES": "0", "DATA_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\datasets\\fineweb10B_sp1024_tttmicro", "ENABLE_TORCH_COMPILE": "0", "FINAL_PREQUANT_EVAL": "0", "ITERATIONS": "1000", "MAX_WALLCLOCK_SECONDS": "45.0", "PARALLEL_ATTN_BIAS_INIT": "1.5", "RUN_ID": "proxy_anchor_s4d_mid2_45s", "SAVE_RAW_MODEL": "0", "SDP_BACKEND": "math", "SEED": "1337", "SSM_CORE": "s4d", "SSM_KERNEL_SIZE": "64", "SSM_RANK": "4", "TOKENIZER_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\tokenizers\\fineweb_1024_bpe.model", "TRAIN_BATCH_TOKENS": "32768", "TRAIN_LOG_EVERY": "20", "TRAIN_SEQ_LEN": "1024", "VAL_BATCH_SIZE": "262144"}	C:\Users\GreQ\.codex_playground\OpenAIGolf\parameter-golf-ssm-hybrid\experiments\state_space_hybrid\runs\anchors\20260406-031513_proxy_anchor_s4d_mid2_45s
20260406-031631	proxy_baseline_60steps	baseline			tttmicro	1337	AAAAAAAAA	s4d	32768	60	0.0	3.2489006	5.41889779		5154567	5209085	54518	25690	428.16	31.948538303375244	2621	0		{"CUDA_VISIBLE_DEVICES": "1", "DATA_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\datasets\\fineweb10B_sp1024_tttmicro", "ENABLE_TORCH_COMPILE": "0", "FINAL_PREQUANT_EVAL": "0", "ITERATIONS": "60", "MAX_WALLCLOCK_SECONDS": "0.0", "RUN_ID": "proxy_baseline_60steps", "SAVE_RAW_MODEL": "0", "SDP_BACKEND": "math", "SEED": "1337", "TOKENIZER_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\tokenizers\\fineweb_1024_bpe.model", "TRAIN_BATCH_TOKENS": "32768", "TRAIN_LOG_EVERY": "20", "TRAIN_SEQ_LEN": "1024", "VAL_BATCH_SIZE": "262144"}	C:\Users\GreQ\.codex_playground\OpenAIGolf\parameter-golf-ssm-hybrid\experiments\state_space_hybrid\runs\baseline\20260406-031631_proxy_baseline_60steps
20260406-031631	proxy_baseline_80steps	baseline			tttmicro	1337	AAAAAAAAA	s4d	32768	80	0.0	3.21314132	5.35925426		5301221	5355739	54518	35908	448.84	42.58990025520325	2621	0		{"CUDA_VISIBLE_DEVICES": "0", "DATA_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\datasets\\fineweb10B_sp1024_tttmicro", "ENABLE_TORCH_COMPILE": "0", "FINAL_PREQUANT_EVAL": "0", "ITERATIONS": "80", "MAX_WALLCLOCK_SECONDS": "0.0", "RUN_ID": "proxy_baseline_80steps", "SAVE_RAW_MODEL": "0", "SDP_BACKEND": "math", "SEED": "1337", "TOKENIZER_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\tokenizers\\fineweb_1024_bpe.model", "TRAIN_BATCH_TOKENS": "32768", "TRAIN_LOG_EVERY": "20", "TRAIN_SEQ_LEN": "1024", "VAL_BATCH_SIZE": "262144"}	C:\Users\GreQ\.codex_playground\OpenAIGolf\parameter-golf-ssm-hybrid\experiments\state_space_hybrid\runs\baseline\20260406-031631_proxy_baseline_80steps
20260406-031732	full_anchor_s4d_mid_80steps	anchors			full	1337	AASSSASSS	s4d	32768	80	0.0	3.17178172	5.35542057		5426459	5480977	54518	28122	351.52	150.39106225967407	1532	0		{"BLOCK_LAYOUT": "AASSSASSS", "CUDA_VISIBLE_DEVICES": "1", "DATA_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\datasets\\fineweb10B_sp1024", "ENABLE_TORCH_COMPILE": "0", "FINAL_PREQUANT_EVAL": "0", "ITERATIONS": "80", "MAX_WALLCLOCK_SECONDS": "0.0", "PARALLEL_ATTN_BIAS_INIT": "1.5", "RUN_ID": "full_anchor_s4d_mid_80steps", "SAVE_RAW_MODEL": "0", "SDP_BACKEND": "math", "SEED": "1337", "SSM_CORE": "s4d", "SSM_KERNEL_SIZE": "64", "SSM_RANK": "4", "TOKENIZER_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\tokenizers\\fineweb_1024_bpe.model", "TRAIN_BATCH_TOKENS": "32768", "TRAIN_LOG_EVERY": "20", "TRAIN_SEQ_LEN": "1024", "VAL_BATCH_SIZE": "262144"}	C:\Users\GreQ\.codex_playground\OpenAIGolf\parameter-golf-ssm-hybrid\experiments\state_space_hybrid\runs\anchors\20260406-031732_full_anchor_s4d_mid_80steps
20260406-031732	full_baseline_80steps	baseline			full	1337	AAAAAAAAA	s4d	32768	80	0.0	3.18401827	5.37608148		5272271	5326789	54518	35946	449.33	385.3524625301361	2621	0		{"CUDA_VISIBLE_DEVICES": "0", "DATA_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\datasets\\fineweb10B_sp1024", "ENABLE_TORCH_COMPILE": "0", "FINAL_PREQUANT_EVAL": "0", "ITERATIONS": "80", "MAX_WALLCLOCK_SECONDS": "0.0", "RUN_ID": "full_baseline_80steps", "SAVE_RAW_MODEL": "0", "SDP_BACKEND": "math", "SEED": "1337", "TOKENIZER_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\tokenizers\\fineweb_1024_bpe.model", "TRAIN_BATCH_TOKENS": "32768", "TRAIN_LOG_EVERY": "20", "TRAIN_SEQ_LEN": "1024", "VAL_BATCH_SIZE": "262144"}	C:\Users\GreQ\.codex_playground\OpenAIGolf\parameter-golf-ssm-hybrid\experiments\state_space_hybrid\runs\baseline\20260406-031732_full_baseline_80steps
20260406-032545	proxy_anchor_mid_80steps_smear_bigram	transfer			tttmicro	1337	AASSSASSS	s4d	32768	80	0.0	3.29204616	5.49086101		5538926	5596266	57340	31586	394.83	38.65278506278992	1546	0		{"BLOCK_LAYOUT": "AASSSASSS", "CUDA_VISIBLE_DEVICES": "1", "DATA_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\datasets\\fineweb10B_sp1024_tttmicro", "ENABLE_TORCH_COMPILE": "0", "FINAL_PREQUANT_EVAL": "0", "ITERATIONS": "80", "MAX_WALLCLOCK_SECONDS": "0.0", "PARALLEL_ATTN_BIAS_INIT": "1.5", "RUN_ID": "proxy_anchor_mid_80steps_smear_bigram", "SAVE_RAW_MODEL": "0", "SDP_BACKEND": "math", "SEED": "1337", "SSM_CORE": "s4d", "SSM_KERNEL_SIZE": "64", "SSM_RANK": "4", "TOKENIZER_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\tokenizers\\fineweb_1024_bpe.model", "TRAIN_BATCH_TOKENS": "32768", "TRAIN_LOG_EVERY": "20", "TRAIN_SEQ_LEN": "1024", "VAL_BATCH_SIZE": "262144"}	C:\Users\GreQ\.codex_playground\OpenAIGolf\parameter-golf-ssm-hybrid\experiments\state_space_hybrid\runs\transfer\20260406-032545_proxy_anchor_mid_80steps_smear_bigram
20260406-032545	proxy_baseline_80steps_smear_bigram	transfer			tttmicro	1337	AAAAAAAAA	s4d	32768	80	0.0	3.30182392	5.50716951		5356122	5413462	57340	38277	478.46	45.19985556602478	2635	0		{"CUDA_VISIBLE_DEVICES": "0", "DATA_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\datasets\\fineweb10B_sp1024_tttmicro", "ENABLE_TORCH_COMPILE": "0", "FINAL_PREQUANT_EVAL": "0", "ITERATIONS": "80", "MAX_WALLCLOCK_SECONDS": "0.0", "RUN_ID": "proxy_baseline_80steps_smear_bigram", "SAVE_RAW_MODEL": "0", "SDP_BACKEND": "math", "SEED": "1337", "TOKENIZER_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\tokenizers\\fineweb_1024_bpe.model", "TRAIN_BATCH_TOKENS": "32768", "TRAIN_LOG_EVERY": "20", "TRAIN_SEQ_LEN": "1024", "VAL_BATCH_SIZE": "262144"}	C:\Users\GreQ\.codex_playground\OpenAIGolf\parameter-golf-ssm-hybrid\experiments\state_space_hybrid\runs\transfer\20260406-032545_proxy_baseline_80steps_smear_bigram
20260406-032703	proxy_anchor_mid_80steps_ssmfloat16	quant			tttmicro	1337	AASSSASSS	s4d	32768	80	0.0	3.18893676	5.31888305		12368071	12425827	57756	28606	357.57	35.077178955078125	1532	0		{"BLOCK_LAYOUT": "AASSSASSS", "CUDA_VISIBLE_DEVICES": "0", "DATA_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\datasets\\fineweb10B_sp1024_tttmicro", "ENABLE_TORCH_COMPILE": "0", "FINAL_PREQUANT_EVAL": "0", "ITERATIONS": "80", "MAX_WALLCLOCK_SECONDS": "0.0", "PARALLEL_ATTN_BIAS_INIT": "1.5", "RUN_ID": "proxy_anchor_mid_80steps_ssmfloat16", "SAVE_RAW_MODEL": "0", "SDP_BACKEND": "math", "SEED": "1337", "SSM_CORE": "s4d", "SSM_KERNEL_SIZE": "64", "SSM_RANK": "4", "TOKENIZER_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\tokenizers\\fineweb_1024_bpe.model", "TRAIN_BATCH_TOKENS": "32768", "TRAIN_LOG_EVERY": "20", "TRAIN_SEQ_LEN": "1024", "VAL_BATCH_SIZE": "262144"}	C:\Users\GreQ\.codex_playground\OpenAIGolf\parameter-golf-ssm-hybrid\experiments\state_space_hybrid\runs\quant\20260406-032703_proxy_anchor_mid_80steps_ssmfloat16
20260406-032703	proxy_anchor_mid_80steps_ssmfp32	quant			tttmicro	1337	AASSSASSS	s4d	32768	80	0.0	3.18862502	5.3183631		21286730	21344486	57756	29542	369.27	36.27041411399841	1532	0		{"BLOCK_LAYOUT": "AASSSASSS", "CUDA_VISIBLE_DEVICES": "1", "DATA_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\datasets\\fineweb10B_sp1024_tttmicro", "ENABLE_TORCH_COMPILE": "0", "FINAL_PREQUANT_EVAL": "0", "ITERATIONS": "80", "MAX_WALLCLOCK_SECONDS": "0.0", "PARALLEL_ATTN_BIAS_INIT": "1.5", "RUN_ID": "proxy_anchor_mid_80steps_ssmfp32", "SAVE_RAW_MODEL": "0", "SDP_BACKEND": "math", "SEED": "1337", "SSM_CORE": "s4d", "SSM_KERNEL_SIZE": "64", "SSM_RANK": "4", "TOKENIZER_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\tokenizers\\fineweb_1024_bpe.model", "TRAIN_BATCH_TOKENS": "32768", "TRAIN_LOG_EVERY": "20", "TRAIN_SEQ_LEN": "1024", "VAL_BATCH_SIZE": "262144"}	C:\Users\GreQ\.codex_playground\OpenAIGolf\parameter-golf-ssm-hybrid\experiments\state_space_hybrid\runs\quant\20260406-032703_proxy_anchor_mid_80steps_ssmfp32
20260406-032749	full_anchor_s4d_mid_80steps_ssmfloat16	quant			full	1337	AASSSASSS	s4d	32768	80	0.0	3.15875948	5.33343307		12346179	12403935	57756	25221	315.26	145.3998007774353	1532	0		{"BLOCK_LAYOUT": "AASSSASSS", "CUDA_VISIBLE_DEVICES": "1", "DATA_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\datasets\\fineweb10B_sp1024", "ENABLE_TORCH_COMPILE": "0", "FINAL_PREQUANT_EVAL": "0", "ITERATIONS": "80", "MAX_WALLCLOCK_SECONDS": "0.0", "PARALLEL_ATTN_BIAS_INIT": "1.5", "RUN_ID": "full_anchor_s4d_mid_80steps_ssmfloat16", "SAVE_RAW_MODEL": "0", "SDP_BACKEND": "math", "SEED": "1337", "SSM_CORE": "s4d", "SSM_KERNEL_SIZE": "64", "SSM_RANK": "4", "TOKENIZER_PATH": "C:\\Users\\GreQ\\.codex_playground\\OpenAIGolf\\parameter-golf\\data\\tokenizers\\fineweb_1024_bpe.model", "TRAIN_BATCH_TOKENS": "32768", "TRAIN_LOG_EVERY": "20", "TRAIN_SEQ_LEN": "1024", "VAL_BATCH_SIZE": "262144"}	C:\Users\GreQ\.codex_playground\OpenAIGolf\parameter-golf-ssm-hybrid\experiments\state_space_hybrid\runs\quant\20260406-032749_full_anchor_s4d_mid_80steps_ssmfloat16
